3.386430758028e+01	4.332903477351e+01
3.386378514546e+01	4.332932287128e+01
3.386326225626e+01	4.332961014351e+01
3.386273890315e+01	4.332989656974e+01
3.386221507634e+01	4.333018212871e+01
3.386169076570e+01	4.333046679834e+01
3.386116596076e+01	4.333075055567e+01
3.386064065072e+01	4.333103337681e+01
3.386011482440e+01	4.333131523692e+01
3.385958847026e+01	4.333159611011e+01
3.385906157635e+01	4.333187596941e+01
3.385853413032e+01	4.333215478673e+01
3.385800611937e+01	4.333243253274e+01
3.385747753026e+01	4.333270917685e+01
3.385694834929e+01	4.333298468710e+01
3.385641856225e+01	4.333325903009e+01
3.385588815442e+01	4.333353217092e+01
3.385535711054e+01	4.333380407305e+01
3.385482541478e+01	4.333407469820e+01
3.385429305072e+01	4.333434400631e+01
3.385376000132e+01	4.333461195533e+01
3.385322624889e+01	4.333487850114e+01
3.385269177506e+01	4.333514359741e+01
3.385215656074e+01	4.333540719545e+01
3.385162058609e+01	4.333566924403e+01
3.385108383049e+01	4.333592968921e+01
3.385054627250e+01	4.333618847414e+01
3.385000788980e+01	4.333644553890e+01
3.384946865917e+01	4.333670082017e+01
3.384892855645e+01	4.333695425109e+01
3.384838755648e+01	4.333720576089e+01
3.384784563305e+01	4.333745527465e+01
3.384730275887e+01	4.333770271294e+01
3.384675890550e+01	4.333794799148e+01
3.384621404331e+01	4.333819102070e+01
3.384566814142e+01	4.333843170533e+01
3.384512116766e+01	4.333866994390e+01
3.384457308849e+01	4.333890562819e+01
3.384402386898e+01	4.333913864265e+01
3.384347347275e+01	4.333936886368e+01
3.384292186191e+01	4.333959615897e+01
3.384236899705e+01	4.333982038658e+01
3.384181483716e+01	4.334004139406e+01
3.384125933968e+01	4.334025901740e+01
3.384070246040e+01	4.334047307986e+01
3.384014415359e+01	4.334068339064e+01
3.383958437194e+01	4.334088974343e+01
3.383902306669e+01	4.334109191468e+01
3.383846018776e+01	4.334128966175e+01
3.383789568392e+01	4.334148272075e+01
3.383732950305e+01	4.334167080405e+01
3.383676159256e+01	4.334185359756e+01
3.383619189983e+01	4.334203075748e+01
3.383562037294e+01	4.334220190669e+01
3.383504696159e+01	4.334236663061e+01
3.383447161824e+01	4.334252447236e+01
3.383389429978e+01	4.334267492738e+01
3.383331496955e+01	4.334281743707e+01
3.383273360011e+01	4.334295138170e+01
3.383215017680e+01	4.334307607211e+01
3.383156470239e+01	4.334319074047e+01
3.383097720321e+01	4.334329452965e+01
3.383038773703e+01	4.334338648145e+01
3.382979640341e+01	4.334346552351e+01
3.382920335701e+01	4.334353045526e+01
3.382860882484e+01	4.334357993326e+01
3.382801312829e+01	4.334361245679e+01
3.382741671100e+01	4.334362635523e+01
3.382682017358e+01	4.334361977960e+01
3.382622431573e+01	4.334359070190e+01
3.382563018551e+01	4.334353692768e+01
3.382503913353e+01	4.334345612891e+01
3.382445286701e+01	4.334334590591e+01
3.382387349382e+01	4.334320388724e+01
3.382330354135e+01	4.334302787356e+01
3.382274593021e+01	4.334281602325e+01
